character,id,name
Ivan Vanko / Whiplash,2295,Mickey Rourke
Natalie Rushman / Natasha Romanoff / Black Widow,1245,Scarlett Johansson
Justin Hammer,6807,Sam Rockwell
Director Nick Fury,2231,Samuel L. Jackson
"Virginia ""Pepper"" Potts",12052,Gwyneth Paltrow
US Senator (uncredited),1265840,Michael A. Templeton
Background (uncredited),1265841,Rosa Tyabji
Tony Stark Usher (uncredited),1122811,Peter Sebastian Wrobel
Expo Attendee (uncredited),1205141,Maria Zambrana
Stark Expo Attendee (uncredited),1429470,Nick W. Nicholson
