pid,tid
1,3063
1,2712
1,2641
1,2271
1,919
1,794
1,2381
1,1889
1,3439
1,2042
1,1718
1,1928
3,2920
1,2126
1,539
1,361
1,3457
1,743
1,2133
1,1258
1,1822
1,2394
1,3455
1,829
1,1793
1,2592
1,1761
1,891
1,1295
1,1191
1,526
1,1346
1,2563
1,1560
1,692
3,3243
1,1266
1,618
1,2653
1,1218
1,2587
1,1019
1,2087
1,1382
1,2445
1,2542
1,3385
1,1333
1,126
1,1396
1,443
1,2006
1,2763
3,3247
1,1426
1,1325
1,1376
1,903
3,2859
1,2598
3,3175
1,694
1,3376
1,1115
1,1557
1,1248
1,2200
1,3500
1,1523
1,1142
1,2320
1,83
1,2497
3,3216
1,521
1,2987
1,621
1,3099
1,2045
1,3445
1,2270
1,2165
1,2098
1,1610
1,1783
1,2162
1,2487
1,306
1,1199
1,3365
1,1476
1,490
1,2793
1,2547
1,2149
1,2280
1,229
1,3119
1,2289
1,2702
1,291
1,1467
1,869
1,2227
3,3171
